(1444, 0)
(1486, 1)
(1395, 2)
(1507, 3)
(1565, 4)
(1468, 5)
(1469, 6)
(1457, 7)
(1442, 8)
(1441, 9)
(1453, 10)
(1425, 11)
(1446, 12)
(1564, 13)
(1486, 14)
(1482, 15)
(1499, 16)
(1501, 17)
(1461, 18)
(1510, 19)
(1484, 20)
(1496, 21)
(1479, 22)
(1445, 23)
(1494, 24)
(1508, 25)
(1446, 26)
(1499, 27)
(1486, 28)
(1402, 29)
(1461, 30)
(1451, 31)
(1470, 32)
(1514, 33)
(1462, 34)
(1469, 35)
(1490, 36)
(1480, 37)
(1473, 38)
(1460, 39)
(1399, 40)
(1494, 41)
(1515, 42)
(1450, 43)
(1470, 44)
(1492, 45)
(1433, 46)
(1395, 47)
(1504, 48)
(1474, 49)
(1457, 50)
(1484, 51)
(1466, 52)
(1462, 53)
(1473, 54)
(1505, 55)
(1446, 56)
(1445, 57)
(1455, 58)
(1470, 59)
(1434, 60)
(1470, 61)
(1485, 62)
(1446, 63)
(1452, 64)
(1500, 65)
(1488, 66)
(1490, 67)
(1444, 68)
(1459, 69)
(1474, 70)
(1465, 71)
(1517, 72)
(1485, 73)
(1500, 74)
(1467, 75)
(1417, 76)
(1462, 77)
(1480, 78)
(1477, 79)
(1460, 80)
(1462, 81)
(1477, 82)
(1458, 83)
(1446, 84)
(1439, 85)
(1495, 86)
(1448, 87)
(1479, 88)
(1447, 89)
(1506, 90)
(1512, 91)
(1492, 92)
(1501, 93)
(1456, 94)
(1577, 95)
(1531, 96)
(1434, 97)
(1489, 98)
(1423, 99)
(1474, 100)
(1440, 101)
(1548, 102)
(1420, 103)
(1473, 104)
(1509, 105)
(1421, 106)
(1439, 107)
(1477, 108)
(1512, 109)
(1512, 110)
(1530, 111)
(1457, 112)
(1470, 113)
(1485, 114)
(1472, 115)
(1463, 116)
(1521, 117)
(1429, 118)
(1500, 119)
(1423, 120)
(1468, 121)
(1463, 122)
(1432, 123)
(1415, 124)
(1527, 125)
(1467, 126)
(1506, 127)
(1493, 128)
(1489, 129)
(1461, 130)
(1514, 131)
(1500, 132)
(1529, 133)
(1482, 134)
(1519, 135)
(1463, 136)
(1371, 137)
(1541, 138)
(1485, 139)
(1378, 140)
(1469, 141)
(1483, 142)
(1447, 143)
(1440, 144)
(1491, 145)
(1546, 146)
(1481, 147)
(1462, 148)
(1475, 149)
(1453, 150)
(1451, 151)
(1529, 152)
(1437, 153)
(1513, 154)
(1475, 155)
(1500, 156)
(1492, 157)
(1428, 158)
(1527, 159)
(1512, 160)
(1447, 161)
(1456, 162)
(1522, 163)
(1487, 164)
(1437, 165)
(1507, 166)
(1432, 167)
(1485, 168)
(1475, 169)
(1519, 170)
(1528, 171)
(1467, 172)
(1439, 173)
(1471, 174)
(1497, 175)
(1429, 176)
(1494, 177)
(1495, 178)
(1473, 179)
(1488, 180)
(1541, 181)
(1499, 182)
(1458, 183)
(1567, 184)
(1469, 185)
(1473, 186)
(1447, 187)
(1472, 188)
(1484, 189)
(1483, 190)
(1522, 191)
(1442, 192)
(1472, 193)
(1499, 194)
(1447, 195)
(1499, 196)
(1461, 197)
(1498, 198)
(1466, 199)
(1466, 200)
(1462, 201)
(1504, 202)
(1530, 203)
(1478, 204)
(1459, 205)
(1462, 206)
(1430, 207)
(1472, 208)
(1508, 209)
(1463, 210)
(1435, 211)
(1464, 212)
(1505, 213)
(1487, 214)
(1455, 215)
(1444, 216)
(1408, 217)
(1484, 218)
(1441, 219)
(1461, 220)
(1466, 221)
(1501, 222)
(1504, 223)
(1462, 224)
(1539, 225)
(1404, 226)
(1454, 227)
(1449, 228)
(1502, 229)
(1519, 230)
(1479, 231)
(1469, 232)
(1528, 233)
(1459, 234)
(1426, 235)
(1476, 236)
(1458, 237)
(1473, 238)
(1527, 239)
(1429, 240)
(1521, 241)
(1518, 242)
(1495, 243)
(1468, 244)
(1405, 245)
(1512, 246)
(1456, 247)
(1473, 248)
(1446, 249)
(1464, 250)
(1476, 251)
(1439, 252)
(1489, 253)
(1478, 254)
(1498, 255)
(1419, 256)
(1478, 257)
(1498, 258)
(1424, 259)
(1553, 260)
(1477, 261)
(1451, 262)
(1454, 263)
(1468, 264)
(1490, 265)
(1396, 266)
(1446, 267)
(1436, 268)
(1466, 269)
(1505, 270)
(1470, 271)
(1445, 272)
(1464, 273)
(1463, 274)
(1477, 275)
(1452, 276)
(1507, 277)
(1458, 278)
(1501, 279)
(1490, 280)
